CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.wind,HOME.dataRecorderFileIndex,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
3/2/2024,43:05.4,5m 47.8s,347.8,6.972887075,79.91594238,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.6,-0.7,34.1,34.1,,Starting Motors,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.76,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3204.5,801.14,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,102.9,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,,
3/2/2024,43:05.5,5m 47.9s,347.9,6.97288708,79.9159424,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.5,-0.6,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.76,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3204.5,801.14,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,Flight mode changed to Manual Takeoff.,
3/2/2024,43:05.5,5m 48.0s,348,6.972887088,79.9159424,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.5,-0.6,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.76,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3204.5,801.14,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,,
3/2/2024,43:05.6,5m 48.1s,348.1,6.972887096,79.9159424,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.5,-0.6,34.1,34.1,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.76,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3204.5,801.14,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,,
3/2/2024,43:05.8,5m 48.2s,348.2,6.972887123,79.9159424,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.6,-0.6,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.76,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3204.5,801.14,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,,
3/2/2024,43:06.0,5m 48.3s,348.3,6.972887127,79.9159424,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.5,-0.6,34.1,34.1,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.76,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3204.5,801.14,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,,
3/2/2024,43:06.1,5m 48.4s,348.4,6.972887129,79.9159424,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.5,-0.6,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.76,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3204.5,801.14,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,,
3/2/2024,43:06.1,5m 48.5s,348.5,6.972887131,79.9159424,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.5,-0.6,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.756,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3246.1,811.52,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,,
3/2/2024,43:06.2,5m 48.6s,348.6,6.972887135,79.91594251,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.5,-0.6,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.756,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3246.1,811.52,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,,
3/2/2024,43:06.3,5m 48.7s,348.7,6.972887136,79.91594256,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.6,-0.6,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.759,1510,2075,7.756,FALSE,3.881,3.878,0.003,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3246.1,811.52,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,,,,,
3/2/2024,43:06.4,5m 48.8s,348.8,6.972887136,79.91594257,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.6,-0.7,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.763,1510,2075,7.756,FALSE,3.885,3.879,0.006,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3246.1,811.52,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,6.972828889,79.9159239,5,,
3/2/2024,43:06.5,5m 48.9s,348.9,6.972887136,79.91594259,0,0,0.3,57,0.1,0,0,0,0,0,0,0,0,1.6,-0.6,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.763,1510,2075,7.756,FALSE,3.885,3.879,0.006,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3246.1,811.52,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,6.972828889,79.9159239,5,,
3/2/2024,43:06.6,5m 49.0s,349,6.972887132,79.91594243,0,0,0.3,57,0.2,0,0,0,0,0,0,0,0,1.5,-0.6,34.1,34.1,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.763,1510,2075,7.756,FALSE,3.885,3.879,0.006,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3246.1,811.52,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,6.972828889,79.9159239,5,,
3/2/2024,43:06.7,5m 49.1s,349.1,6.972887132,79.91594238,0,0,0.3,57,0.2,0,0,0,0,0,0,0,0,1.5,-0.6,34,34,,Manual Takeoff,Auto Fly,Takeoff (RC Assisted),15,5,TRUE,,Mavic Mini,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,38.1,38.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,Normal,,100,1024,1024,1024,1024,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,73,7.763,1510,2075,7.756,FALSE,3.885,3.879,0.006,FALSE,FALSE,NA,106.3,106.3,106.3,0,26,0,18,5,3246.1,811.52,,Idle,0,20,FALSE,5,TRUE,7,Go Home,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.972772655,79.91568235,103,124,328,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Course Lock,49.2,14.3,16.4,Calm,40,,1.12.8,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,53,0.1,3.2,8.324995,2.908022,0,5846,Mavic Mini,1SDCH7G0169R0K,1SFLH6Q0AB03DJ,1SRCH7F014TAHX,1U5X071EXP6C8G,DJI Fly,,1.12.8,03BFB7E5-9CD8-CB27-EE9E-F3BA8024ECED,1SDCH7G0169R0K,,,,,6.972828889,79.9159239,5,,
